,X1,Y1,X2,Y2,SLOPE
0,678,442,998,642,0.6249999999999997
1,691,454,1008,660,0.6498422712933757
2,293,660,636,420,-0.6997084548104955
3,326,649,630,420,-0.7532894736842111
4,637,420,775,507,0.6304347826086953
5,385,594,602,447,-0.6774193548387102
6,671,437,1027,659,0.6235955056179765
7,637,423,829,543,0.625
8,311,660,436,563,-0.7759999999999996
9,569,431,739,422,-0.05294117647058794
10,568,426,741,420,-0.03468208092485516
11,298,656,401,582,-0.7184466019417479
12,637,422,805,527,0.6249999999999994
13,508,513,636,423,-0.7031250000000016
